Nation of League,League,Date of Game,Date of Data Collection,Time of Scrape,Home Team,Away Team,Home Team Average Odds,Away Team Average Odds,Draw Odds
Argentina,Copa Diego Maradona,2021-01-06,2021-01-04,13:15,Atl. Tucuman,Colon Santa FE,2.49,2.81,2.99
,,,,,,,,,
Argentina,Primera Nacional,2021-01-04,2021-01-04,13:15,Temperley,Deportivo Moron,2.61,3.00,2.72
Argentina,Primera Nacional,2021-01-04,2021-01-04,13:15,Agropecuario,Ferro,2.08,3.72,2.97
Argentina,Primera Nacional,2021-01-04,2021-01-04,13:15,Instituto,Quilmes,2.46,3.08,2.78
Argentina,Primera Nacional,2021-01-04,2021-01-04,13:15,CA Estudiantes,Platense,2.34,3.15,2.89
,,,,,,,,,
Argentina,Primera B,2021-01-04,2021-01-04,13:15,Defensores Unidos,San Miguel,3.42,2.25,2.85
Argentina,Primera B,2021-01-04,2021-01-04,13:15,Fenix,Deportivo Armenio,2.85,2.50,2.98
Argentina,Primera B,2021-01-04,2021-01-04,13:15,Talleres (R.E),San Telmo,2.52,2.91,2.89
,,,,,,,,,
Argentina,Primera C,2021-01-04,2021-01-04,13:15,Canuelas,Dock Sud,2.69,2.65,2.90
Argentina,Primera C,2021-01-04,2021-01-04,13:15,General Lamadrid,Dep. Merlo,2.37,3.14,2.82
Argentina,Primera C,2021-01-04,2021-01-04,13:15,Laferrere,Real Pilar,2.85,2.63,2.77
,,,,,,,,,
Argentina,Primera D,2021-01-04,2021-01-04,13:15,Deportivo Muniz,Yupanqui,2.71,2.57,2.94
Argentina,Primera D,2021-01-04,2021-01-04,13:15,Def. de Cambaceres,Liniers,2.97,2.51,2.76
,,,,,,,,,
Australia,A-League,2021-01-08,2021-01-04,13:15,Newcastle Jets,WS Wanderers,2.99,2.29,3.44
Australia,A-League,2021-01-09,2021-01-04,13:15,Macarthur FC,Wellington Phoenix,2.38,2.90,3.38
Australia,A-League,2021-01-10,2021-01-04,13:15,Brisbane Roar,Melbourne Victory,2.23,3.10,3.39
,,,,,,,,,
Austria,Tipico Bundesliga,2021-01-22,2021-01-04,13:15,Rapid Vienna,Sturm Graz,2.35,2.64,3.48
Austria,Tipico Bundesliga,2021-01-23,2021-01-04,13:15,Ried,Austria Vienna,2.53,2.46,3.47
Austria,Tipico Bundesliga,2021-01-23,2021-01-04,13:15,St. Polten,Admira,1.66,4.55,3.69
Austria,Tipico Bundesliga,2021-01-23,2021-01-04,13:15,Wolfsberger AC,Hartberg,1.58,4.78,4.02
Austria,Tipico Bundesliga,2021-01-24,2021-01-04,13:15,Altach,Salzburg,12.50,1.17,6.38
Austria,Tipico Bundesliga,2021-01-24,2021-01-04,13:15,LASK,Tirol,1.32,7.06,5.11
,,,,,,,,,
Bangladesh,Federation Cup,2021-01-04,2021-01-04,13:15,Abahani Limited,Baridhara,1.31,7.21,4.98
,,,,,,,,,
Belgium,Jupiler League,2021-01-06,2021-01-04,13:15,Eupen,Genk,3.62,1.93,3.78
Belgium,Jupiler League,2021-01-09,2021-01-04,13:15,Waregem,Mouscron,1.91,3.98,3.50
Belgium,Jupiler League,2021-01-09,2021-01-04,13:15,Cercle Brugge KSV,Eupen,2.48,2.70,3.45
Belgium,Jupiler League,2021-01-09,2021-01-04,13:15,Kortrijk,Genk,3.35,2.16,3.36
Belgium,Jupiler League,2021-01-09,2021-01-04,13:15,Oostende,Charleroi,2.71,2.51,3.39
Belgium,Jupiler League,2021-01-10,2021-01-04,13:15,KV Mechelen,Antwerp,2.84,2.40,3.40
Belgium,Jupiler League,2021-01-10,2021-01-04,13:15,Beerschot VA,Gent,2.65,2.41,3.68
Belgium,Jupiler League,2021-01-10,2021-01-04,13:15,Leuven,Anderlecht,3.57,1.95,3.73
Belgium,Jupiler League,2021-01-10,2021-01-04,13:15,St. Truiden,Club Brugge KV,5.93,1.51,4.32
Belgium,Jupiler League,2021-01-11,2021-01-04,13:15,St. Liege,Waasland-Beveren,1.47,6.42,4.35
Belgium,Jupiler League,2021-01-12,2021-01-04,13:15,Oostende,Eupen,1.94,3.61,3.82
Belgium,Jupiler League,2021-01-13,2021-01-04,13:15,Beerschot VA,Cercle Brugge KSV,1.79,4.19,3.88
Belgium,Jupiler League,2021-01-15,2021-01-04,13:15,Eupen,Anderlecht,3.63,1.93,3.67
Belgium,Jupiler League,2021-01-16,2021-01-04,13:15,Oostende,Kortrijk,2.17,3.12,3.53
Belgium,Jupiler League,2021-01-16,2021-01-04,13:15,Mouscron,Genk,4.30,1.71,4.03
Belgium,Jupiler League,2021-01-16,2021-01-04,13:15,Waasland-Beveren,Waregem,2.80,2.32,3.59
Belgium,Jupiler League,2021-01-16,2021-01-04,13:15,Charleroi,KV Mechelen,2.09,3.13,3.72
Belgium,Jupiler League,2021-01-17,2021-01-04,13:15,Gent,Antwerp,2.25,2.80,3.79
Belgium,Jupiler League,2021-01-17,2021-01-04,13:15,Cercle Brugge KSV,St. Liege,2.94,2.21,3.66
Belgium,Jupiler League,2021-01-17,2021-01-04,13:15,Beerschot VA,Club Brugge KV,3.93,1.79,3.94
