Nation of League,League,Date of Game,Date of Data Collection,Time of Scrape,Home Team,Away Team,Home Team Average Odds,Away Team Average Odds,Draw Odds
Belarus,Vysshaya Liga Reserve,2020-04-24,2020-04-24,15:35,Brest 2,Sachter Soligorsk 2,3.13,1.97,3.87
Belarus,Vysshaya Liga Reserve,2020-04-24,2020-04-24,15:35,FK Gorodeja 2,BATE 2,3.88,1.72,4.06
Belarus,Vysshaya Liga Reserve,2020-04-24,2020-04-24,15:35,Slavia Mozyr 2,Minsk 2,6.6,1.35,5.02
Belarus,Vysshaya Liga Reserve,2020-04-25,2020-04-24,15:35,Isloch Minsk 2,Vitebsk 2,1.39,5.81,4.84
Belarus,Vysshaya Liga Reserve,2020-04-25,2020-04-24,15:35,Slutsk 2,Belshina 2,1.75,3.68,4.08
Belarus,Vysshaya Liga Reserve,2020-04-25,2020-04-24,15:35,Zhodino 2,Rukh Brest 2,3.12,1.96,3.69
,,,,,,,,,
Europe,UEFA Nations League,2020-09-03,2020-04-24,15:35,Germany,Spain,2.37,3.04,3.38
Europe,UEFA Nations League,2020-09-03,2020-04-24,15:35,Ukraine,Switzerland,2.79,2.66,3.2
Europe,UEFA Nations League,2020-09-03,2020-04-24,15:35,Bulgaria,Ireland,3.22,2.42,3.1
Europe,UEFA Nations League,2020-09-03,2020-04-24,15:35,Finland,Wales,2.6,2.9,3.15
Europe,UEFA Nations League,2020-09-03,2020-04-24,15:35,Russia,Serbia,2.28,3.28,3.28
Europe,UEFA Nations League,2020-09-03,2020-04-24,15:35,Turkey,Hungary,1.68,5.5,3.7
Europe,UEFA Nations League,2020-09-03,2020-04-24,15:35,Moldova,Kosovo,7.3,1.49,4.2
Europe,UEFA Nations League,2020-09-03,2020-04-24,15:35,Slovenia,Greece,2.26,3.42,3.2
Europe,UEFA Nations League,2020-09-03,2020-04-24,15:35,Faroe Islands,Malta,1.62,5.85,3.72
Europe,UEFA Nations League,2020-09-03,2020-04-24,15:35,Latvia,Andorra,1.53,7.1,3.82
Europe,UEFA Nations League,2020-09-04,2020-04-24,15:35,Italy,Bosnia & Herzegovina,1.42,7.5,4.8
Europe,UEFA Nations League,2020-09-04,2020-04-24,15:35,Netherlands,Poland,1.76,4.46,3.92
Europe,UEFA Nations League,2020-09-04,2020-04-24,15:35,Norway,Austria,2.61,2.84,3.22
Europe,UEFA Nations League,2020-09-04,2020-04-24,15:35,Romania,Northern Ireland,2.31,3.28,3.24
Europe,UEFA Nations League,2020-09-04,2020-04-24,15:35,Scotland,Israel,1.82,4.62,3.56
Europe,UEFA Nations League,2020-09-04,2020-04-24,15:35,Slovakia,Czech Republic,2.71,2.71,3.24
Europe,UEFA Nations League,2020-09-04,2020-04-24,15:35,Belarus,Albania,2.78,2.74,3.1
Europe,UEFA Nations League,2020-09-04,2020-04-24,15:35,Lithuania,Kazakhstan,2.58,2.93,3.14
Europe,UEFA Nations League,2020-09-05,2020-04-24,15:35,North Macedonia,Armenia,2.1,3.7,3.34
